name,capacity_mw
Greifenstein,293.0
Hieflau,63.0
Hieflau-Erzbach,1.0
Jochenstein,132.0
KW Amlach,60.0
KW Imst,89.0
KW Jenbach,79.0
KW Kaunertal,392.0
KW Kühtai,289.0
KW Silz,500.0
Kaprun Limberg II,480.0
Kaprun Oberstufe,113.0
Kaprun main stage,240.0
Kellerberg,25.0
Klammsee,1.0
Klaus,20.0
Kopswerk II,525.0
Kreuzbergmaut,18.0
Kreuzeck days storage,45.0
Krippau,30.0
Landl,25.0
Laufnitzdorf,18.0
Lebring,20.0
Leoben,10.0
Losenstein,39.0
Low Tuxbach - Small power plant Stillupp,2.0
Lünerseewerk,280.0
Malta Secondary school,120.0
Malta main stage,730.0
Mandling,6.0
Mayrhofen,355.0
Melk,187.0
Mellach run power plant,16.0
Neuötting,26.1
Niklai,2.0
Nussdorf near Vienna,5.0
Oberaudorf Ebbs,60.0
Obervermuntwerk,30.0
Obervogau,13.0
Ottensheim-Wilhering,179.0
Passau-Ingling,86.0
Paternion,24.0
Peggau,13.0
Pernegg,22.0
Pichlern,2.0
Rabenstein,14.0
Retznei,1.0
Rodundwerk I,198.0
Rodundwerk II,295.0
Rosegg-St. James,80.0
Rosenau,34.0
Schonau,30.0
Schwabeck,79.0
Schwarzach,120.0
Simmering,1272.0
St. Georgen,6.0
St. Johann,16.0
St. Martin,10.0
St. Pantaleon,52.0
St. Veit,16.0
Staning,43.0
Steinfeld,1.0
Ternberg,40.0
Timelkam,400.0
Triebenbach,10.0
Tuxbach,1.0
Urreiting,16.0
Vermuntwerk,157.0
Vienna-Freudenau,172.0
Villach,25.0
Walgauwerk,86.0
Wallnerau Salzach stage,13.0
Wallnerau underwater stage,5.0
Wallsee-Mitterkirchen,210.0
Weissenegg,1.0
Werfen-Pfarrwerfen,16.0
Weyer,37.0
Wind Park Bruck an der Leitha,9.0
Wind Park Hollern II,37.0
Wind Park Petronell-Carnuntum II,21.0
Windpark Bruck-Göttlesbrunn,21.0
Ybbs-Persenbeug,236.0
Astara ES,87.0
Azerbaijan TPP,2400.0
Baku ES,105.0
Baku TEC,107.0
Gusar,1.0
Janub,780.0
Khachmaz ES,87.0
Mingechevir,402.0
Sangachal ES,299.0
Shamkir,405.0
Shimal,400.0
Sumqayit,525.0
Varvara,16.0
Yenikend,150.0
Al Dur Power and Water,1540.0
Al Ezzel Power Station,962.0
Alba Power Station,2204.0
Awali,5.0
Hawar Power ad Water Station,7.3
Hidd Power and Water station 1,963.0
Rifa'a Power Station,700.0
Sitra Power an Water Station,1205.0
Amnura,50.0
Ashuganj (Aggreko),1649.0
Baghabari GT 1,223.0
Barabkunda (Regent),22.0
Barishal GT-unit-1 2,40.0
Barupukuria ST 1,250.0
Bera Peaking,71.0
Bheramara GT (Unit-1 2 3),560.0
Bhola CCPP GT-1 2 ST,227.0
Bogra GBB,42.0
CLCPC Keranigonj,100.0
Chittagong Roazan,553.0
Faridpur,54.0
Fenchuganj (Barakatullah),296.0
Feni (Doreen),33.0
Ghorasal ST :Unit-3,861.0
Gopalganj,5.0
Gopalganj Peaking,109.0
Hathazari,98.0
Hobiganj (Confidence-EP),11.0
Horippur Power CCPP,946.0
Jamalpur RPP,95.0
Jangalia (Summit),85.0
Jhulda,100.0
Kaptai Hydro:Unit-1 2 3 4 5,230.0
Karanigonj (Powerpac),100.0
Katakhali (Peaking),100.0
Kathpotti 52 mw,52.0
Khulna (KPCL-2),510.0
Kodda Gajipur,149.0
Madanganj (Summit),157.0
Meghnaghat CCPP,855.0
Mymensingh,210.0
Narshingdi (Doreen),22.0
Noapara (khanjahan ali),40.0
Northen 55 MW,55.0
Pagla (DPA),50.0
Patenga 50 MW,50.0
